Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
100,37.1760864257813,-89.3838958740234,1.95344543457031,-1.28866577148438
106.799995422363,41.4269256591797,-88.1065979003906,1.94284057617188,-1.5325927734375
114.062393188477,37.6337432861328,-89.0709075927734,1.95661926269531,-1.59466552734375
121.818634033203,34.0361785888672,-89.7467193603516,1.95291137695313,-1.5972900390625
130.102294921875,36.0798797607422,-88.9205474853516,1.95503234863281,-1.76252746582031
138.949249267578,34.0269012451172,-89.3253326416016,1.95901489257813,-1.73454284667969
148.397796630859,33.16845703125,-89.5185394287109,1.95596313476563,-2.03353881835938
158.488845825195,31.8437652587891,-89.616455078125,1.95396423339844,-2.034423828125
169.266082763672,32.6283874511719,-89.0840301513672,1.94284057617188,-2.26173400878906
180.776168823242,31.1874542236328,-89.2920989990234,1.95701599121094,-2.32029724121094
193.068939208984,31.1475524902344,-89.0403137207031,1.94270324707031,-2.5528564453125
206.197616577148,30.5048828125,-89.1146240234375,1.94125366210938,-2.7740478515625
220.219039916992,29.3621673583984,-89.2073059082031,1.96046447753906,-2.82475280761719
235.193923950195,30.7062072753906,-87.9326171875,1.94601440429688,-3.02409362792969
251.187103271484,28.8784027099609,-88.7098388671875,1.95053100585938,-3.30210876464844
268.267822265625,28.4142608642578,-88.6556396484375,1.94734191894531,-3.62033081054688
286.510009765625,27.4001007080078,-88.7937774658203,1.94866943359375,-3.7672119140625
305.99267578125,27.7587432861328,-88.1118469238281,1.93701171875,-4.1177978515625
326.800170898438,26.5618133544922,-88.3942413330078,1.95993041992188,-4.30924987792969
349.022583007813,25.9611511230469,-88.2421112060547,1.95184326171875,-4.55404663085938
372.756103515625,25.7520141601563,-87.97021484375,1.94535827636719,-5.04975891113281
398.103515625,24.9859466552734,-87.8836669921875,1.94522094726563,-5.23335266113281
425.174530029297,24.6823120117188,-87.5610656738281,1.9525146484375,-5.62590026855469
454.086395263672,23.6710662841797,-87.8224639892578,1.94549560546875,-5.92665100097656
484.964263916016,23.4124908447266,-87.2882843017578,1.96284484863281,-6.32881164550781
517.941772460938,22.73681640625,-87.4815063476563,1.94403076171875,-6.99324035644531
553.161804199219,22.1885223388672,-87.3232574462891,1.96417236328125,-7.48808288574219
590.776794433594,21.6900482177734,-86.8939971923828,1.96536254882813,-7.80369567871094
630.949584960938,21.1864166259766,-86.7803497314453,1.96232604980469,-8.5118408203125
673.854125976563,20.5383148193359,-86.6413421630859,1.96736145019531,-8.96559143066406
719.676208496094,19.9934539794922,-86.2802581787109,1.95158386230469,-9.46041870117188
768.614135742188,19.5433654785156,-86.1561126708984,1.98883056640625,-10.3338165283203
820.8798828125,19.0349578857422,-85.7425842285156,2.00022888183594,-10.9038238525391
876.69970703125,18.3981170654297,-85.7749328613281,2.01216125488281,-11.7142791748047
936.315246582031,17.8931579589844,-85.5869750976563,2.00167846679688,-12.6235046386719
999.984619140625,17.4213256835938,-85.0536651611328,2.01176452636719,-13.3404083251953
1067.98352050781,16.8612213134766,-84.9330291748047,2.02302551269531,-14.2487640380859
1140.60632324219,16.3516235351563,-84.6952209472656,2.00260925292969,-15.3381042480469
1218.16748046875,15.9003448486328,-84.3699951171875,2.02607727050781,-16.3942108154297
1301.00280761719,15.4091644287109,-84.3892364501953,2.06596374511719,-17.7248382568359
1389.47094726563,14.9224853515625,-84.0167999267578,2.06491088867188,-18.8185424804688
1483.95495605469,14.3889007568359,-83.9993133544922,2.06398010253906,-20.224365234375
1584.86389160156,13.9747314453125,-84.16455078125,2.107177734375,-22.0611877441406
1692.63452148438,13.4824829101563,-84.2615814208984,2.10757446289063,-23.792236328125
1807.73364257813,13.0867309570313,-84.2021331787109,2.13037109375,-25.557373046875
1930.65942382813,12.6495056152344,-84.18115234375,2.13540649414063,-27.4003143310547
2061.94409179688,12.2105407714844,-84.5719451904297,2.12825012207031,-29.6226959228516
2202.15625,11.8114776611328,-85.0361785888672,2.1318359375,-32.115234375
2351.90283203125,11.4190368652344,-85.5004272460938,2.13302612304688,-34.6322326660156
2511.83203125,11.0079040527344,-86.0468292236328,2.11738586425781,-37.3135986328125
2682.63647460938,10.6330871582031,-86.9350891113281,2.09286499023438,-40.3420562744141
2865.0556640625,10.2422485351563,-87.8539428710938,2.04409790039063,-43.5025177001953
3059.87939453125,9.85630798339844,-89.0237121582031,1.97319030761719,-46.9908294677734
3267.951171875,9.45883178710938,-90.5265655517578,1.88717651367188,-50.7650299072266
3490.17163085938,9.1005859375,-92.2200164794922,1.79081726074219,-54.9142913818359
3727.50317382813,8.63232421875,-94.0620880126953,1.60208129882813,-59.1291198730469
3980.97314453125,8.20794677734375,-96.0309295654297,1.41348266601563,-63.5048065185547
4251.67919921875,7.74685668945313,-98.2402038574219,1.17413330078125,-68.1436462402344
4540.79296875,7.25090026855469,-100.441589355469,0.860153198242188,-72.7921142578125
4849.56689453125,6.701416015625,-102.783752441406,0.49554443359375,-77.5953216552734
5179.33740234375,6.13230895996094,-105.201095581055,0.07977294921875,-82.47021484375
5531.5322265625,5.56703186035156,-107.872833251953,-0.346328735351563,-87.5872955322266
5907.67626953125,4.98281860351563,-110.441421508789,-0.817352294921875,-92.6125640869141
6309.39794921875,4.37924194335938,-112.899856567383,-1.32736206054688,-97.5066833496094
6738.4365234375,3.73684692382813,-115.673904418945,-1.89381408691406,-102.701568603516
7196.64990234375,3.04844665527344,-118.685745239258,-2.42475891113281,-107.905181884766
7686.02197265625,2.42143249511719,-120.908111572266,-3.11685180664063,-112.757354736328
8208.6708984375,1.77279663085938,-123.454849243164,-3.74879455566406,-117.654983520508
8766.8603515625,1.068359375,-126.130096435547,-4.45176696777344,-122.698608398438
9363.0068359375,0.428482055664063,-128.848190307617,-5.11019897460938,-127.752731323242
9999.6904296875,-0.244674682617188,-131.66943359375,-5.82363891601563,-132.886413574219
10679.6689453125,-0.907211303710938,-134.538772583008,-6.54423522949219,-138.052444458008
11405.8857421875,-1.57997131347656,-137.441329956055,-7.2933349609375,-143.217590332031
12181.4853515625,-2.23721313476563,-140.523986816406,-8.04998779296875,-148.540985107422
13009.826171875,-2.92694091796875,-143.797225952148,-8.85408020019531,-154.020004272461
13894.494140625,-3.56947326660156,-147.253189086914,-9.63418579101563,-159.634521484375
14839.3193359375,-4.2386474609375,-151.027389526367,-10.4620056152344,-165.537551879883
15848.392578125,-4.85414123535156,-155.035888671875,-11.2570953369141,-171.618942260742
16926.08203125,-5.52436828613281,-159.014663696289,-12.1452178955078,-177.668838500977
18077.0546875,-6.15419006347656,-163.679748535156,-12.9963531494141,175.629165649414
19306.29296875,-6.80931091308594,-168.380661010742,-13.8820953369141,169.186721801758
20619.119140625,-7.497314453125,-173.500350952148,-14.8376770019531,162.26692199707
22021.21875,-8.12089538574219,-178.86833190918,-15.7500610351563,155.188873291016
23518.66015625,-8.73851013183594,175.396621704102,-16.6787414550781,147.850296020508
25117.927734375,-9.39668273925781,169.263656616211,-17.6690521240234,140.245956420898
26825.9453125,-10.1239013671875,162.556304931641,-18.7500152587891,132.166870117188
28650.109375,-10.9244232177734,155.510604858398,-19.9256134033203,123.904205322266
30598.31640625,-11.668212890625,148.151916503906,-21.0641021728516,115.485916137695
32679,-12.3543548583984,139.934707641602,-22.1629486083984,106.369964599609
34901.16796875,-13.0105438232422,131.469207763672,-23.2500152587891,97.1998138427734
37274.4453125,-13.7332611083984,122.285064697266,-24.4218902587891,87.5129547119141
39809.10546875,-14.4388885498047,112.862243652344,-25.5933837890625,77.7902679443359
42516.12109375,-15.1421203613281,102.225082397461,-26.7785186767578,67.0910186767578
45407.21484375,-15.9281921386719,91.4655151367188,-28.0569610595703,56.5377807617188
48494.90234375,-16.7241973876953,79.7416229248047,-29.3596649169922,45.2737579345703
51792.5546875,-17.5762786865234,67.0945281982422,-30.7271728515625,33.4231109619141
55314.4453125,-18.4300689697266,53.3633270263672,-32.1018218994141,20.8066101074219
59075.82421875,-19.399169921875,39.0411376953125,-33.6016082763672,7.97503662109375
63092.9765625,-20.4664916992188,23.2213287353516,-35.1839599609375,-5.83396911621094
67383.296875,-21.6882019042969,6.59718322753906,-36.9226989746094,-20.1028442382813
