Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
100,37.1528930664063,-89.3349456787109,1.94985961914063,-1.22572326660156
106.799995422363,41.4285125732422,-87.9955749511719,1.9417724609375,-1.45040893554688
114.062393188477,37.5986175537109,-89.0796508789063,1.92745971679688,-1.537841796875
121.818634033203,34.0314025878906,-89.8280334472656,1.94216918945313,-1.61302185058594
130.102294921875,36.0769653320313,-88.8130035400391,1.94866943359375,-1.73454284667969
138.949249267578,34.003173828125,-89.3594207763672,1.93780517578125,-1.82546997070313
148.397796630859,33.1393127441406,-89.3865203857422,1.92985534667969,-1.85256958007813
158.488845825195,31.8393859863281,-89.6741638183594,1.94853210449219,-2.09823608398438
169.266082763672,32.6180419921875,-89.0709075927734,1.93223571777344,-2.27047729492188
180.776168823242,31.1692962646484,-89.4136199951172,1.93792724609375,-2.43220520019531
193.068939208984,31.1562957763672,-88.9834899902344,1.94720458984375,-2.49078369140625
206.197616577148,30.5162811279297,-89.0132141113281,1.95132446289063,-2.74519348144531
220.219039916992,29.34228515625,-89.2466430664063,1.94549560546875,-2.89469909667969
235.193923950195,30.6954803466797,-88.0655059814453,1.93461608886719,-3.13337707519531
251.187103271484,28.8972320556641,-88.7701721191406,1.96351623535156,-3.33882141113281
268.267822265625,28.3996887207031,-88.4799194335938,1.93316650390625,-3.41575622558594
286.510009765625,27.4036712646484,-88.7832794189453,1.94985961914063,-3.76284790039063
305.99267578125,27.7596740722656,-88.2394866943359,1.9385986328125,-4.25942993164063
326.800170898438,26.541259765625,-88.3916168212891,1.93899536132813,-4.29176330566406
349.022583007813,25.9652557373047,-88.3304138183594,1.95887756347656,-4.66682434082031
372.756103515625,25.7622222900391,-87.9745941162109,1.94747924804688,-5.030517578125
398.103515625,24.9931030273438,-88.0218048095703,1.95449829101563,-5.32252502441406
425.174530029297,24.6770172119141,-87.6388702392578,1.94866943359375,-5.71769714355469
454.086395263672,23.6788787841797,-87.8486938476563,1.95237731933594,-5.95811462402344
484.964263916016,23.423095703125,-87.5086059570313,1.97172546386719,-6.5526123046875
517.941772460938,22.7627868652344,-87.3757171630859,1.96894836425781,-6.88134765625
553.161804199219,22.2070770263672,-87.3232574462891,1.98260498046875,-7.47146606445313
590.776794433594,21.7099304199219,-87.041748046875,1.98472595214844,-7.955810546875
630.949584960938,21.1958160400391,-86.7593536376953,1.97120666503906,-8.49261474609375
673.854125976563,20.5547485351563,-86.6360931396484,1.98684692382813,-8.95509338378906
