Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
100,-67.3865051269531,42.1369018554688,-6.26617431640625,-57.8089752197266
106.799995422363,-71.2242126464844,-19.4392700195313,-36.71142578125,-111.577972412109
114.062393188477,-66.2266845703125,165.53141784668,-33.0604553222656,141.888702392578
121.818634033203,-72.8077545166016,-58.3938598632813,-30.6275024414063,16.3286285400391
130.102294921875,-96.32958984375,90.000244140625,-55.0405120849609,-34.1006774902344
138.949249267578,-78.2678527832031,29.7442016601563,-33.7422332763672,36.1202239990234
148.397796630859,-74.7459716796875,-149.037567138672,-32.8252105712891,-125.207748413086
158.488845825195,-76.3296356201172,11.3094787597656,-35.9140930175781,91.6377410888672
169.266082763672,-80.7665557861328,-18.4338684082031,-39.0989379882813,-30.0572052001953
180.776168823242,-78.2678527832031,7.12437438964844,-36.2862548828125,143.416030883789
193.068939208984,-71.720703125,-44.9992523193359,-16.9134674072266,97.0083465576172
206.197616577148,-71.720703125,59.0373077392578,-32.59619140625,70.1046142578125
220.219039916992,-72.2472686767578,104.930923461914,-31.9800262451172,-135.713775634766
235.193923950195,-75.5018157958984,26.5636291503906,-36.9506683349609,-53.0328674316406
251.187103271484,-67.0816650390625,149.037551879883,-14.2453765869141,-68.0938262939453
268.267822265625,-65.6999816894531,-47.3868713378906,-3.66409301757813,-31.54345703125
286.510009765625,-77.2447967529297,153.435974121094,-33.8787384033203,-138.180953979492
305.99267578125,-90.3090057373047,90.000244140625,-46.9626922607422,46.3779602050781
326.800170898438,-64.2884674072266,-161.114654541016,-13.6130523681641,-55.7527008056641
349.022583007813,-65.9593505859375,-41.3465881347656,-23.2615356445313,113.483856201172
372.756103515625,-70.3090515136719,168.691009521484,-19.7063903808594,103.156173706055
398.103515625,-71.2242126464844,-80.5389709472656,-18.0735473632813,79.9051208496094
425.174530029297,-67.7023315429688,111.800888061523,-24.851318359375,81.5338745117188
454.086395263672,-72.8077545166016,137.727203369141,-29.3014678955078,-171.193176269531
484.964263916016,-22475,0,-39.1348571777344,-24.2267456054688
517.941772460938,-63.8646240234375,136.910629272461,-11.3947906494141,171.927536010742
