Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
100,37.1237335205078,-89.5360260009766,1.91633605957031,-1.33326721191406
106.799995422363,41.4189605712891,-88.1170959472656,1.94654846191406,-1.53521728515625
114.062393188477,37.6222076416016,-88.8916931152344,1.95291137695313,-1.57106018066406
121.818634033203,34.0389556884766,-89.8210296630859,1.94416809082031,-1.629638671875
130.102294921875,36.0723266601563,-88.5760803222656,1.93806457519531,-1.6348876953125
138.949249267578,34.0120544433594,-89.14697265625,1.94720458984375,-1.71269226074219
148.397796630859,33.1651458740234,-89.4459686279297,1.95356750488281,-2.00120544433594
158.488845825195,31.8533020019531,-89.5946044921875,1.95967102050781,-2.03529357910156
169.266082763672,32.6319580078125,-89.0254516601563,1.94509887695313,-2.20402526855469
180.776168823242,31.1940765380859,-89.3769073486328,1.9617919921875,-2.34129333496094
193.068939208984,31.1612091064453,-88.9686279296875,1.95132446289063,-2.46893310546875
206.197616577148,30.5040893554688,-88.9065551757813,1.9324951171875,-2.63066101074219
220.219039916992,29.3485107421875,-89.2807312011719,1.94932556152344,-2.89207458496094
235.193923950195,30.7088623046875,-88.1354522705078,1.94549560546875,-3.17271423339844
251.187103271484,28.853759765625,-88.8383636474609,1.92587280273438,-3.43586730957031
268.267822265625,28.4181060791016,-88.7378234863281,1.95648193359375,-3.65093994140625
286.510009765625,27.4001007080078,-88.8558502197266,1.95701599121094,-3.8319091796875
305.99267578125,27.7548980712891,-87.9789581298828,1.93263244628906,-4.01025390625
326.800170898438,26.5607452392578,-88.3068084716797,1.95503234863281,-4.21046447753906
349.022583007813,25.9620819091797,-88.3181762695313,1.95291137695313,-4.61874389648438
372.756103515625,25.7802429199219,-87.8854064941406,1.9696044921875,-4.9439697265625
398.103515625,24.9831695556641,-88.1503143310547,1.94549560546875,-5.48251342773438
425.174530029297,24.6754150390625,-87.5715484619141,1.9462890625,-5.63026428222656
454.086395263672,23.6739807128906,-87.9474792480469,1.94761657714844,-6.0665283203125
484.964263916016,23.4324951171875,-87.3372497558594,1.97969055175781,-6.38912963867188
517.941772460938,22.7716674804688,-87.4447784423828,1.98127746582031,-6.94253540039063
553.161804199219,22.2099914550781,-87.2087249755859,1.98419189453125,-7.36044311523438
590.776794433594,21.6885833740234,-86.8826293945313,1.96205139160156,-7.78271484375
630.949584960938,21.1858825683594,-86.636962890625,1.96337890625,-8.37109375
673.854125976563,20.5303497314453,-86.8056945800781,1.95913696289063,-9.1378173828125
719.676208496094,20.0193023681641,-86.3449554443359,1.977294921875,-9.52947998046875
768.614135742188,19.5413665771484,-86.0520782470703,1.98564147949219,-10.2315216064453
820.8798828125,19.0187835693359,-85.8597412109375,1.98524475097656,-11.0183563232422
876.69970703125,18.3868560791016,-85.8134002685547,1.99943542480469,-11.744873046875
936.315246582031,17.9013671875,-85.6263122558594,2.00804138183594,-12.6602325439453
999.984619140625,17.4151000976563,-85.2005462646484,2.00685119628906,-13.4785308837891
1067.98352050781,16.8596343994141,-84.9828491210938,2.02037048339844,-14.2977294921875
1140.60632324219,16.3882141113281,-84.7642822265625,2.04011535644531,-15.3992919921875
1218.16748046875,15.9157104492188,-84.4915161132813,2.04356384277344,-16.5174865722656
1301.00280761719,15.3876953125,-84.2974395751953,2.04277038574219,-17.6286773681641
1389.47094726563,14.9262084960938,-84.2379760742188,2.06782531738281,-19.0362396240234
1483.95495605469,14.4237518310547,-84.2519683837891,2.10002136230469,-20.4866333007813
1584.86389160156,13.9797668457031,-84.0928497314453,2.11221313476563,-21.9964904785156
1692.63452148438,13.4834136962891,-84.3428955078125,2.10969543457031,-23.8709106445313
1807.73364257813,13.1104583740234,-84.2441101074219,2.15463256835938,-25.6002044677734
1930.65942382813,12.6708374023438,-84.3280334472656,2.15542602539063,-27.5515747070313
2061.94409179688,12.2171630859375,-84.7642822265625,2.13449096679688,-29.8185424804688
2202.15625,11.8281707763672,-84.9872283935547,2.14852905273438,-32.0680236816406
2351.90283203125,11.4644927978516,-85.5353851318359,2.17915344238281,-34.6689605712891
2511.83203125,11.0305633544922,-86.3974151611328,2.13938903808594,-37.6580657958984
2682.63647460938,10.6435699462891,-87.2489471435547,2.10400390625,-40.6559143066406
2865.0556640625,10.2861175537109,-88.2368621826172,2.0885009765625,-43.8828277587891
3059.87939453125,9.88134765625,-89.5264129638672,1.99864196777344,-47.4909057617188
3267.951171875,9.48890686035156,-90.9942932128906,1.91712951660156,-51.2362518310547
3490.17163085938,9.11091613769531,-92.6824951171875,1.80116271972656,-55.3732757568359
3727.50317382813,8.66201782226563,-94.4939727783203,1.63230895996094,-59.5566253662109
3980.97314453125,8.23724365234375,-96.3955078125,1.44303894042969,-63.8702545166016
4251.67919921875,7.73930358886719,-98.7402801513672,1.16644287109375,-68.6384887695313
4540.79296875,7.22651672363281,-101.091171264648,0.835372924804688,-73.4408264160156
4849.56689453125,6.67410278320313,-103.489273071289,0.467849731445313,-78.3034820556641
5179.33740234375,6.10618591308594,-106.151412963867,0.05419921875,-83.4205474853516
5531.5322265625,5.5126953125,-108.667541503906,-0.400665283203125,-88.3811187744141
5907.67626953125,4.91522216796875,-111.199417114258,-0.88494873046875,-93.3688049316406
6309.39794921875,4.29574584960938,-113.812591552734,-1.41085815429688,-98.4203033447266
6738.4365234375,3.64248657226563,-116.364562988281,-1.98844909667969,-103.389617919922
7196.64990234375,2.93434143066406,-119.341430664063,-2.54086303710938,-108.56526184082
7686.02197265625,2.30360412597656,-121.517486572266,-3.23495483398438,-113.36408996582
8208.6708984375,1.643310546875,-124.101806640625,-3.87828063964844,-118.302810668945
8766.8603515625,0.94378662109375,-126.62580871582,-4.57633972167969,-123.191696166992
9363.0068359375,0.297409057617188,-129.250350952148,-5.24154663085938,-128.154022216797
9999.6904296875,-0.392318725585938,-131.985916137695,-5.97102355957031,-133.204650878906
